
[Name]
aneurysm

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ]
-5.05357236e-02, -5.67596816e-02, -1.06314151e-03, 2.98003540e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.99656379e+00, 1.34054935e+00, -1.25440001e+00, 7.84649551e-01
-5.06133586e-02, -5.74220084e-02, -6.20928302e-04, 2.93070793e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.04994202e+00, 1.37833679e+00, -1.30603957e+00, 7.72470534e-01
-5.12381680e-02, -5.68358563e-02, -9.55586671e-04, 3.13578053e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.01626110e+00, 1.31438673e+00, -1.33150566e+00, 7.51524627e-01
-5.15251718e-02, -5.73590882e-02, -5.46895026e-04, 3.14370041e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.04938698e+00, 1.31825459e+00, -1.38686788e+00, 7.34023094e-01
-5.19059375e-02, -5.68867885e-02, -8.04256939e-04, 3.28555565e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.03116965e+00, 1.25893700e+00, -1.41453683e+00, 7.34719753e-01
-5.21727949e-02, -5.73018938e-02, -4.39436204e-04, 3.29001465e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.01617384e+00, 1.23558831e+00, -1.42828166e+00, 7.05896199e-01
-5.26189394e-02, -5.69176376e-02, -5.88913623e-04, 3.42000275e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.99493551e+00, 1.17142785e+00, -1.45510328e+00, 7.00142145e-01
-5.20007089e-02, -5.78075200e-02, -1.17924697e-04, 3.19857998e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.01631761e+00, 1.25334013e+00, -1.41697776e+00, 6.97745383e-01
-5.27356118e-02, -5.75149730e-02, -1.03411068e-04, 3.38463707e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.95571828e+00, 1.13289952e+00, -1.44361699e+00, 6.76271021e-01
-5.33605777e-02, -5.69226965e-02, -3.03182431e-04, 3.56183739e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.90425944e+00, 1.02533019e+00, -1.45883954e+00, 6.68348312e-01
-5.24029508e-02, -5.81982061e-02, 2.91616452e-04, 3.25252838e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.98111629e+00, 1.19722652e+00, -1.43398833e+00, 6.59657240e-01
-5.35755157e-02, -5.74051775e-02, 1.70495565e-04, 3.53702965e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.84034705e+00, 9.69447255e-01, -1.42791855e+00, 6.38825476e-01
-5.31788543e-02, -5.80049977e-02, 4.51014086e-04, 3.41783104e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.87794590e+00, 1.04559934e+00, -1.42655206e+00, 6.31151199e-01
-5.40659241e-02, -5.68996817e-02, 3.21373009e-05, 3.65919380e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.79081035e+00, 8.83521736e-01, -1.42541397e+00, 6.28160775e-01
-5.28359823e-02, -5.86175099e-02, 7.72328465e-04, 3.30751762e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.86900151e+00, 1.10189497e+00, -1.38797832e+00, 5.93725860e-01
-5.38809858e-02, -5.78187518e-02, 6.62056962e-04, 3.54471626e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.75775909e+00, 8.93135250e-01, -1.38656628e+00, 6.07832611e-01
-5.41342683e-02, -5.73451333e-02, 4.27965104e-04, 3.62760735e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.74946105e+00, 8.49838912e-01, -1.39803314e+00, 6.19589567e-01
-5.35248965e-02, -5.84022328e-02, 9.32144234e-04, 3.44403687e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.75981057e+00, 9.53048289e-01, -1.36249626e+00, 5.76399446e-01
-5.47660813e-02, -5.68472520e-02, 4.32568399e-04, 3.72962341e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.67186821e+00, 7.32453465e-01, -1.37312794e+00, 6.10880256e-01
-5.32031357e-02, -5.90336658e-02, 1.26334152e-03, 3.35962715e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.72072279e+00, 9.92587507e-01, -1.30424607e+00, 5.24021983e-01
-5.45348786e-02, -5.75106628e-02, 8.19188892e-04, 3.64763603e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.65784061e+00, 7.57283568e-01, -1.34821045e+00, 5.97733855e-01
-5.41654006e-02, -5.81523962e-02, 1.10281049e-03, 3.55841331e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.64343512e+00, 8.12300503e-01, -1.31486416e+00, 5.58729947e-01
-5.38734347e-02, -5.87931015e-02, 1.44237303e-03, 3.47624054e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.60279965e+00, 8.50794673e-01, -1.26037121e+00, 5.06536961e-01
-5.51100150e-02, -5.72774820e-02, 1.05189730e-03, 3.72745895e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.53089213e+00, 6.30709052e-01, -1.27328038e+00, 5.69731295e-01
-5.48290238e-02, -5.78742549e-02, 1.33428676e-03, 3.64925041e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.50918758e+00, 6.70526683e-01, -1.24212015e+00, 5.34021020e-01
-5.45076132e-02, -5.85291795e-02, 1.64462870e-03, 3.57259254e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.47941947e+00, 7.15870023e-01, -1.19970310e+00, 4.86749172e-01
-5.52532673e-02, -5.67905344e-02, 7.57428992e-04, 3.78858986e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.55274069e+00, 6.02459192e-01, -1.30054569e+00, 5.97182870e-01
-5.57177737e-02, -5.67175448e-02, 1.11037691e-03, 3.79992180e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.44456506e+00, 5.11059940e-01, -1.22597086e+00, 5.67962289e-01
-5.80800176e-02, -5.62575385e-02, 4.29760898e-03, 3.81505051e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.39444995e+00, 3.75395775e-01, -1.22697055e+00, 5.45996368e-01
-5.81758171e-02, -5.58596775e-02, 4.05545253e-03, 3.82750664e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.40314174e+00, 3.72651547e-01, -1.24093521e+00, 5.38532615e-01
-5.79550900e-02, -5.59961312e-02, 3.65525670e-03, 3.83167000e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.34332240e+00, 3.70348960e-01, -1.18533444e+00, 5.12190282e-01
-5.84888235e-02, -5.56285307e-02, 4.70897136e-03, 3.81659775e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.47126234e+00, 3.62047762e-01, -1.29787660e+00, 5.90805233e-01
-4.34706174e-02, -5.10637723e-02, 1.23748723e-02, 6.25775766e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.19351673e-01, -6.30035818e-01, 2.46964857e-01, 4.61952746e-01
-4.41738218e-02, -5.07299714e-02, 1.25968046e-02, 5.08041143e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.95237637e-01, -3.94270390e-01, -1.06062163e-02, 5.72532713e-01
-4.34750728e-02, -5.11670932e-02, 1.32354777e-02, 6.29153395e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.11397016e+00, -9.39372361e-01, 2.66572058e-01, 5.36142290e-01
-4.28192392e-02, -5.13666198e-02, 1.28759928e-02, 8.23646450e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.23249650e+00, -1.05127048e+00, 3.48149270e-01, 5.40989816e-01
-4.38564718e-02, -5.05983271e-02, 1.18946927e-02, 5.63720846e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.11620271e-01, -3.42167407e-01, -4.90414724e-02, 6.22028768e-01
-4.28838879e-02, -5.13359793e-02, 1.20812859e-02, 7.79998159e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.09135962e+00, -9.10007417e-01, 4.11902964e-01, 4.39645529e-01
-4.34282795e-02, -5.09711877e-02, 1.17270006e-02, 6.69120026e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.07751274e-01, -4.46274906e-01, 1.55185282e-01, 5.26942253e-01
-4.45701703e-02, -4.99503948e-02, 1.21010290e-02, 4.07285309e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.32712436e-01, -1.83739796e-01, -4.90524292e-01, 7.71737039e-01
-4.20663767e-02, -5.16067110e-02, 1.24884313e-02, 1.04767733e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.08386767e+00, -5.32297432e-01, 3.42745960e-01, 8.79746377e-01
-4.36162688e-02, -5.05536422e-02, 1.14463614e-02, 6.13664627e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.04125822e-01, -3.22217017e-01, -5.04482798e-02, 6.24038696e-01
-4.39141169e-02, -5.01382910e-02, 1.14088096e-02, 5.14826441e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.94328988e-01, -2.39103109e-01, -2.94106722e-01, 6.98061228e-01
-4.23978567e-02, -5.15696220e-02, 1.13875493e-02, 9.41496468e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.77421343e-01, -8.30136657e-01, 4.17774171e-01, 3.02804202e-01
-4.30055298e-02, -5.12038767e-02, 1.14539545e-02, 7.58149338e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.56084800e-01, -5.52255750e-01, 2.79332727e-01, 4.34339792e-01
-4.32896279e-02, -5.07625155e-02, 1.11196330e-02, 6.87307358e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.28592610e-01, -3.04330468e-01, 2.58295946e-02, 5.49403727e-01
-4.14590538e-02, -5.18890619e-02, 1.17940092e-02, 1.22712984e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.05161130e+00, -1.99569270e-01, 3.91587287e-01, 9.55362678e-01
-4.35089916e-02, -5.02840951e-02, 1.09133236e-02, 5.87946558e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.19590485e-01, -2.27153704e-01, -2.15719774e-01, 6.47824526e-01
-4.10896577e-02, -5.17087802e-02, 1.26129985e-02, 8.57467556e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.80114818e+00, 7.80488074e-01, 4.67023402e-01, 1.55462611e+00
-4.17231284e-02, -5.19614182e-02, 1.08938785e-02, 1.17221518e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.03069305e+00, -9.13120031e-01, 4.71499532e-01, 7.89187327e-02
