
[Name]
aneurysm

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ]
-5.05357236e-02, -5.67596816e-02, -1.06314151e-03, 2.02633496e+03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.20992374e+00, 4.47006798e+00, -4.78601742e+00, 3.01587963e+00
-5.06133586e-02, -5.74220084e-02, -6.20928302e-04, 2.01894568e+03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.23173332e+00, 4.45709085e+00, -4.87879992e+00, 2.93762136e+00
-5.12381680e-02, -5.68358563e-02, -9.55586671e-04, 2.03526013e+03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.15595579e+00, 4.25407887e+00, -4.97497988e+00, 2.89138269e+00
-5.15251718e-02, -5.73590882e-02, -5.46895026e-04, 2.03186584e+03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.16116142e+00, 4.20931816e+00, -5.07304239e+00, 2.79787707e+00
-5.19059375e-02, -5.68867885e-02, -8.04256939e-04, 2.04370654e+03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.16707945e+00, 4.04127550e+00, -5.19939518e+00, 2.82867694e+00
-5.21727949e-02, -5.73018938e-02, -4.39436204e-04, 2.04058435e+03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.05438185e+00, 3.94045281e+00, -5.18532848e+00, 2.71099567e+00
-5.26189394e-02, -5.69176376e-02, -5.88913623e-04, 2.05098608e+03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.06319380e+00, 3.79173470e+00, -5.30856752e+00, 2.70750213e+00
-5.20007089e-02, -5.78075200e-02, -1.17924697e-04, 2.03140369e+03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.00109625e+00, 3.96816015e+00, -5.11469030e+00, 2.66626978e+00
-5.27356118e-02, -5.75149730e-02, -1.03411068e-04, 2.04405469e+03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.88172960e+00, 3.64118910e+00, -5.22407818e+00, 2.60939693e+00
-5.33605777e-02, -5.69226965e-02, -3.03182431e-04, 2.05940283e+03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.85419893e+00, 3.39158821e+00, -5.35233641e+00, 2.61336303e+00
-5.24029508e-02, -5.81982061e-02, 2.91616452e-04, 2.03101331e+03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.89369488e+00, 3.81246662e+00, -5.15332270e+00, 2.53601885e+00
-5.35755157e-02, -5.74051775e-02, 1.70495565e-04, 2.05327759e+03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.72136545e+00, 3.29056430e+00, -5.29358435e+00, 2.51533389e+00
-5.31788543e-02, -5.80049977e-02, 4.51014086e-04, 2.04171729e+03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.75626421e+00, 3.46809268e+00, -5.23936939e+00, 2.48363662e+00
-5.40659241e-02, -5.68996817e-02, 3.21373009e-05, 2.06466528e+03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.65315247e+00, 3.05538225e+00, -5.35305929e+00, 2.50476217e+00
-5.28359823e-02, -5.86175099e-02, 7.72328465e-04, 2.03055420e+03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.64745903e+00, 3.61038399e+00, -5.06805325e+00, 2.33851933e+00
-5.38809858e-02, -5.78187518e-02, 6.62056962e-04, 2.05040649e+03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.63051462e+00, 3.13548589e+00, -5.29314899e+00, 2.47285843e+00
-5.41342683e-02, -5.73451333e-02, 4.27965104e-04, 2.05929639e+03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.63897324e+00, 3.01929331e+00, -5.35258675e+00, 2.51190209e+00
-5.35248965e-02, -5.84022328e-02, 9.32144234e-04, 2.03987415e+03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.57505703e+00, 3.30441713e+00, -5.17484570e+00, 2.35227060e+00
-5.47660813e-02, -5.68472520e-02, 4.32568399e-04, 2.06872412e+03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.49407578e+00, 2.71436286e+00, -5.35483742e+00, 2.47608066e+00
-5.32031357e-02, -5.90336658e-02, 1.26334152e-03, 2.03038770e+03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.38918400e+00, 3.40899467e+00, -4.95069218e+00, 2.16588855e+00
-5.45348786e-02, -5.75106628e-02, 8.19188892e-04, 2.05872949e+03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.50674629e+00, 2.78320050e+00, -5.32435560e+00, 2.49855614e+00
-5.41654006e-02, -5.81523962e-02, 1.10281049e-03, 2.04855566e+03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.44728613e+00, 2.98203731e+00, -5.20677090e+00, 2.35891652e+00
-5.38734347e-02, -5.87931015e-02, 1.44237303e-03, 2.03885449e+03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.29300404e+00, 3.10358548e+00, -5.01907682e+00, 2.18598390e+00
-5.51100150e-02, -5.72774820e-02, 1.05189730e-03, 2.06595044e+03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.30519342e+00, 2.49866128e+00, -5.25336266e+00, 2.43194151e+00
-5.48290238e-02, -5.78742549e-02, 1.33428676e-03, 2.05631372e+03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.28821945e+00, 2.65661645e+00, -5.19635296e+00, 2.34136868e+00
-5.45076132e-02, -5.85291795e-02, 1.64462870e-03, 2.04677185e+03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.18419361e+00, 2.80991626e+00, -5.05295515e+00, 2.19459915e+00
-5.52532673e-02, -5.67905344e-02, 7.57428992e-04, 2.07390869e+03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.35268354e+00, 2.39134383e+00, -5.32440233e+00, 2.50774789e+00
-5.57177737e-02, -5.67175448e-02, 1.11037691e-03, 2.07455103e+03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.23412514e+00, 2.18754196e+00, -5.29221439e+00, 2.46402955e+00
-5.80800176e-02, -5.62575385e-02, 4.29760898e-03, 2.07799023e+03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.25139093e+00, 1.35134637e+00, -5.27486086e+00, 3.07076454e+00
-5.81758171e-02, -5.58596775e-02, 4.05545253e-03, 2.08268018e+03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.25522804e+00, 1.38304520e+00, -5.34510612e+00, 2.94022179e+00
-5.79550900e-02, -5.59961312e-02, 3.65525670e-03, 2.08245801e+03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.18278646e+00, 1.43360448e+00, -5.30422211e+00, 2.83493471e+00
-5.84888235e-02, -5.56285307e-02, 4.70897136e-03, 2.08028027e+03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.28424168e+00, 1.23238933e+00, -5.24883318e+00, 3.22841430e+00
-4.34706174e-02, -5.10637723e-02, 1.23748723e-02, 1.87297412e+03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.28309357e+00, -1.11046052e+00, 6.39318109e-01, 6.69249594e-02
-4.41738218e-02, -5.07299714e-02, 1.25968046e-02, 1.86763831e+03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.19929183e+00, -1.05886388e+00, 4.40709889e-01, 3.50546777e-01
-4.34750728e-02, -5.11670932e-02, 1.32354777e-02, 1.87346448e+03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.20743489e+00, -1.06278586e+00, 3.61546397e-01, 4.44600284e-01
-4.28192392e-02, -5.13666198e-02, 1.28759928e-02, 1.87483167e+03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.07850361e+00, -8.52478325e-01, 2.91545004e-01, 5.92834115e-01
-4.38564718e-02, -5.05983271e-02, 1.18946927e-02, 1.86572473e+03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.11309779e-01, -7.11046219e-01, 3.57212603e-01, 4.44182277e-01
-4.28838879e-02, -5.13359793e-02, 1.20812859e-02, 1.87528699e+03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.12562478e+00, -9.91761327e-01, 5.18101633e-01, 1.22520819e-01
-4.34282795e-02, -5.09711877e-02, 1.17270006e-02, 1.87081299e+03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.13356137e+00, -9.09943461e-01, 6.67071640e-01, 1.09452583e-01
