
[Name]
aneurysm

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ]
-4.79325950e-02, 3.61150242e-02, 2.25382354e-02, 7.34652649e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.87815332e+00, 9.77815151e-01, 5.76793242e+00, 5.72293103e-01
-4.81895804e-02, 3.56222838e-02, 2.20608115e-02, 7.37429260e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.86058855e+00, 8.53580296e-01, 5.77552891e+00, 5.11038721e-01
-4.79996540e-02, 3.55883501e-02, 2.25308090e-02, 7.37914001e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.88558960e+00, 9.15802717e-01, 5.78646564e+00, 5.64167023e-01
-4.77617681e-02, 3.55507694e-02, 2.30275076e-02, 7.37229492e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.88151407e+00, 1.02049696e+00, 5.75012875e+00, 6.97721958e-01
-4.87354398e-02, 3.58014256e-02, 1.92333218e-02, 7.34520386e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.49814129e+00, 8.86569202e-01, 6.43664408e+00, 9.72195491e-02
-4.86987941e-02, 3.57661583e-02, 1.98462307e-02, 7.35336426e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.22269106e+00, 8.60002100e-01, 6.15254259e+00, 3.58467489e-01
-4.86482643e-02, 3.64079103e-02, 1.92654282e-02, 7.29531494e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.39662552e+00, 9.32940364e-01, 6.32821321e+00, -1.24510797e-02
-4.87255007e-02, 3.58347781e-02, 1.86199062e-02, 7.31834473e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.63966036e+00, 9.32838321e-01, 6.56822014e+00, -2.70899832e-01
-2.09725276e-02, 4.71255966e-02, -9.96780582e-04, 6.79191406e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.56732571e+00, 1.15978873e+00, -1.01996052e+00, 2.66609222e-01
-2.04272456e-02, 4.74716797e-02, -1.13723637e-03, 6.80253479e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.58174229e+00, 1.25140524e+00, -9.35759902e-01, 2.45452270e-01
-2.02689227e-02, 4.69949767e-02, -9.80981626e-04, 6.79678223e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.62053144e+00, 1.27660751e+00, -9.47509289e-01, 3.14040869e-01
