
[Name]
aneurysm

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ]
-3.49928811e-02, -1.80400722e-03, -4.12224382e-02, 1.11723623e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.89306879e-01, 3.16190682e-02, -8.39245468e-02, -2.75055230e-01
-3.55136432e-02, -1.64636155e-03, -4.06419039e-02, 1.04798994e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.93740755e-01, -1.35776848e-01, -5.41222543e-02, -1.27164885e-01
-3.46634872e-02, -1.60688965e-03, -4.05926295e-02, 1.09262915e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.30752051e-01, -1.83696374e-02, -6.74210489e-02, -2.19916940e-01
-3.42141427e-02, -1.79807772e-03, -4.12040278e-02, 1.13345919e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.51930732e-01, 1.88303635e-01, -1.15033329e-01, -3.94398868e-01
-3.50402109e-02, -1.40020589e-03, -3.99599671e-02, 1.01805191e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.76490530e-01, -1.62547812e-01, -2.20358595e-02, -6.51270747e-02
-3.39223817e-02, -1.63052534e-03, -4.05167229e-02, 1.11504622e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.49789321e-01, 1.05226852e-01, -9.88848805e-02, -3.18593264e-01
-3.58143412e-02, -1.40632794e-03, -3.98766808e-02, 9.53872871e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.55777210e-01, -2.54737586e-01, -1.96074508e-02, 1.20954895e-02
-3.43442410e-02, -1.45601830e-03, -4.00508940e-02, 1.06699924e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.70413926e-01, -5.62631190e-02, -4.37432751e-02, -1.54796302e-01
-3.53121012e-02, -1.17611280e-03, -3.92886773e-02, 9.22567749e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.58099377e-01, -2.50426829e-01, 1.53763574e-02, 6.05414510e-02
-3.63361463e-02, -1.65769143e-03, -4.03921343e-02, 9.68494129e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.60235846e-01, -2.54429907e-01, -5.05945347e-02, -2.06958074e-02
-3.43946368e-02, -1.22205727e-03, -3.93255129e-02, 9.89270592e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.51286647e-01, -1.50823265e-01, 9.27926600e-03, -7.34090293e-03
-3.37343924e-02, -1.46190019e-03, -3.98388244e-02, 1.07487602e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.05511332e-01, 1.70641169e-02, -5.89524209e-02, -1.96133465e-01
-3.60883474e-02, -1.19044341e-03, -3.91885005e-02, 8.60530090e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.30990285e-01, -3.15384030e-01, 3.49217182e-04, 1.00435920e-01
-3.62010300e-02, -1.87271845e-03, -4.10471037e-02, 1.04128113e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.20015228e-01, -1.74101800e-01, -7.10003898e-02, -1.14255019e-01
-3.65506336e-02, -1.45076460e-03, -3.97319123e-02, 8.83380508e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.25018883e-01, -3.17400634e-01, -3.21361236e-02, 6.21399879e-02
-3.31910402e-02, -1.69410289e-03, -4.03627641e-02, 1.11623106e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.27474880e-01, 2.44793653e-01, -1.51136354e-01, -4.42112684e-01
-3.56712118e-02, -9.31595743e-04, -3.85227278e-02, 8.11473370e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.45506847e-01, -3.08068424e-01, 3.44798341e-02, 1.52577728e-01
-3.49216163e-02, -9.95752169e-04, -3.87343019e-02, 8.85796165e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.82521039e-01, -2.49925032e-01, 4.73101996e-02, 1.22952685e-01
-3.70856449e-02, -1.74366287e-03, -4.02116813e-02, 8.94545555e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.19158971e-01, -3.11163098e-01, -6.39982820e-02, 3.07279099e-02
-3.36071625e-02, -1.26175769e-03, -3.91016714e-02, 1.00472822e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.08978772e-02, -6.48700222e-02, 2.75727478e-03, -2.84743235e-02
-3.30332406e-02, -1.53443869e-03, -3.96154597e-02, 1.08111343e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.02411109e-01, 1.14301793e-01, -9.58782062e-02, -2.63049334e-01
-3.67880128e-02, -1.26270333e-03, -3.91030908e-02, 8.02650166e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.61013532e-01, -3.38853300e-01, -1.78726874e-02, 1.23246796e-01
-3.63860652e-02, -1.04493415e-03, -3.86687145e-02, 7.83477497e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.76600116e-01, -3.41735601e-01, 9.75938421e-03, 1.57953054e-01
-3.41989100e-02, -9.96381510e-04, -3.85537259e-02, 9.03353405e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.23265111e-01, -1.79741308e-01, 5.74613065e-02, 1.19325459e-01
-3.72879691e-02, -1.54313387e-03, -3.95620763e-02, 8.16920662e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.51852328e-01, -3.36674392e-01, -5.02189435e-02, 8.90419483e-02
-3.24375927e-02, -1.81301963e-03, -4.01566513e-02, 1.09901505e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.49730885e-01, 4.09711421e-01, -2.25436017e-01, -5.86013317e-01
-3.64065990e-02, -8.34588427e-04, -3.80430147e-02, 7.22678995e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.77620757e-01, -3.25834006e-01, 2.31133495e-02, 1.89460829e-01
-3.49080563e-02, -7.62627868e-04, -3.79904211e-02, 7.91931438e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.43643010e-01, -2.60439366e-01, 7.63474479e-02, 2.10791171e-01
-3.28648575e-02, -1.37085782e-03, -3.88834476e-02, 1.00950356e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.49460554e-02, 3.52329314e-02, -2.42919102e-02, -4.88521606e-02
-3.34273838e-02, -1.06658228e-03, -3.83474790e-02, 9.13844776e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.70666754e-01, -9.30775031e-02, 5.70845082e-02, 1.31168127e-01
-3.22932899e-02, -1.68270536e-03, -3.93962152e-02, 1.07265749e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.54998046e-01, 2.53439069e-01, -1.60018414e-01, -3.42324376e-01
-3.74905095e-02, -1.34453771e-03, -3.89024206e-02, 7.44724512e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.62904787e-01, -3.37731957e-01, -4.00556996e-02, 1.26619667e-01
-3.69856246e-02, -1.06125907e-03, -3.84365506e-02, 7.29855347e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.77226859e-01, -3.41384977e-01, -9.46377032e-03, 1.60208732e-01
-3.57791521e-02, -6.84025872e-04, -3.77414897e-02, 7.16139793e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.79383862e-01, -3.01804185e-01, 5.70981801e-02, 2.22679421e-01
-3.40074040e-02, -7.99041532e-04, -3.78023423e-02, 8.11402130e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.07597965e-01, -1.75215691e-01, 9.38718840e-02, 2.34742492e-01
-3.17296386e-02, -1.97324413e-03, -3.99073996e-02, 1.05829391e+01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00261223e+00, 6.07136130e-01, -3.21587443e-01, -7.30204403e-01
-3.80052477e-02, -1.67326909e-03, -3.93653065e-02, 7.57713509e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.49205434e-01, -3.28587085e-01, -7.09405690e-02, 9.45642367e-02
-3.71187851e-02, -8.58281564e-04, -3.77802700e-02, 6.67635775e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.55175227e-01, -3.09022635e-01, -9.39305755e-05, 1.75084129e-01
-3.64881903e-02, -6.15698867e-04, -3.73465344e-02, 6.52242517e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.74970049e-01, -3.00810158e-01, 3.57806757e-02, 2.20987618e-01
-3.52062695e-02, -5.43391798e-04, -3.73023637e-02, 6.96074390e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.01126087e-01, -2.75212407e-01, 9.03548300e-02, 2.77482003e-01
-3.45427394e-02, -5.66004193e-04, -3.72333862e-02, 7.14602232e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.91788393e-01, -2.31305167e-01, 1.08856395e-01, 2.96894521e-01
